cement,flyash,ggbs,mk,water,water_tcm,sp,vma,nca_20_down,nca_10_down,rca_20_down,rca_10_down,sand,age,cs
262.0,0.0,0.0,0.0,170.0,0.65,0.52,0.0,0.0,0.0,501.0,568.0,688.0,28.0,22.0
227.0,0.0,0.0,0.0,170.0,0.75,0.34,0.0,0.0,0.0,516.0,579.0,700.0,28.0,17.0
275.0,275.0,0.0,0.0,146.0,0.26,5.5,1.1,0.0,0.0,352.0,626.0,547.0,7.0,15.0
165.0,385.0,0.0,0.0,172.0,0.31,4.4,1.1,0.0,0.0,350.0,622.0,544.0,7.0,6.34
385.0,165.0,0.0,0.0,148.0,0.26,6.05,1.1,0.0,0.0,355.0,630.0,550.0,14.0,23.5
275.0,275.0,0.0,0.0,146.0,0.26,5.5,1.1,0.0,0.0,352.0,626.0,547.0,14.0,23.0
165.0,385.0,0.0,0.0,172.0,0.31,4.4,1.1,0.0,0.0,350.0,622.0,544.0,14.0,6.5
385.0,165.0,0.0,0.0,148.0,0.26,6.05,1.1,0.0,0.0,355.0,630.0,550.0,28.0,30.0
275.0,275.0,0.0,0.0,146.0,0.26,5.5,1.1,0.0,0.0,352.0,626.0,547.0,28.0,38.0
165.0,385.0,0.0,0.0,172.0,0.31,4.4,1.1,0.0,0.0,350.0,622.0,544.0,28.0,10.0
275.0,275.0,0.0,0.0,146.0,0.26,5.5,1.1,0.0,0.0,352.0,626.0,547.0,56.0,45.0
165.0,385.0,0.0,0.0,172.0,0.31,4.4,1.1,0.0,0.0,350.0,622.0,544.0,56.0,18.0
385.0,0.0,165.0,0.0,155.0,0.28,6.6,1.38,0.0,0.0,347.0,616.0,539.0,7.0,33.0
275.0,0.0,275.0,0.0,162.0,0.29,6.05,1.1,0.0,0.0,340.0,604.0,528.0,7.0,40.0
165.0,0.0,385.0,0.0,172.0,0.31,4.4,1.1,0.0,0.0,333.0,591.0,516.0,7.0,31.0
385.0,0.0,165.0,0.0,155.0,0.28,6.6,1.38,0.0,0.0,347.0,616.0,539.0,14.0,48.0
275.0,0.0,275.0,0.0,162.0,0.3,6.05,1.1,0.0,0.0,340.0,604.0,528.0,14.0,46.0
165.0,0.0,385.0,0.0,172.0,0.31,4.4,1.1,0.0,0.0,333.0,591.0,516.0,14.0,43.0
275.0,0.0,275.0,0.0,162.0,0.3,6.05,1.1,0.0,0.0,340.0,604.0,528.0,28.0,51.0
165.0,0.0,385.0,0.0,172.0,0.31,4.4,1.1,0.0,0.0,333.0,591.0,516.0,28.0,45.0
385.0,0.0,165.0,0.0,155.0,0.28,6.6,1.38,0.0,0.0,347.0,616.0,539.0,56.0,60.0
275.0,0.0,275.0,0.0,162.0,0.3,6.05,1.1,0.0,0.0,340.0,604.0,528.0,56.0,58.0
